"id","x","y"
"1",1,0.5
"2",2,0.5
"3",3,0.5
"4",4,0.5
"5",5,0.5
"6",6,0.5
"7",7,0.5
"8",8,0.5
"9",9,0.5
"10",10,0.5
"11",11,0.5
"12",12,0.5
"13",13,0.5
"14",14,0.5
"15",15,0.5
"16",16,0.5
"17",17,0.5
"18",18,0.5
"19",19,0.5
"20",20,0.5
"21",21,0.5
"22",22,0.5
"23",23,0.5
"24",24,0.5
"25",25,0.5
"26",26,0.5
"27",1,1
"28",2,1
"29",3,1
"30",4,1
"31",5,1
"32",6,1
"33",7,1
"34",8,1
"35",9,1
"36",10,1
"37",11,1
"38",12,1
"39",13,1
"40",14,1
"41",15,1
"42",16,1
"43",17,1
"44",18,1
"45",19,1
"46",20,1
"47",21,1
"48",22,1
"49",23,1
"50",24,1
"51",25,1
"52",26,1
"53",1,1.5
"54",2,1.5
"55",3,1.5
"56",4,1.5
"57",5,1.5
"58",6,1.5
"59",7,1.5
"60",8,1.5
"61",9,1.5
"62",10,1.5
"63",11,1.5
"64",12,1.5
"65",13,1.5
"66",14,1.5
"67",15,1.5
"68",16,1.5
"69",17,1.5
"70",18,1.5
"71",19,1.5
"72",20,1.5
"73",21,1.5
"74",22,1.5
"75",23,1.5
"76",24,1.5
"77",25,1.5
"78",26,1.5
"79",1,2
"80",2,2
"81",3,2
"82",4,2
"83",5,2
"84",6,2
"85",7,2
"86",8,2
"87",9,2
"88",10,2
"89",11,2
"90",12,2
"91",13,2
"92",14,2
"93",15,2
"94",16,2
"95",17,2
"96",18,2
"97",19,2
"98",20,2
"99",21,2
"100",22,2
"101",23,2
"102",24,2
"103",25,2
"104",26,2
"105",1,2.5
"106",2,2.5
"107",3,2.5
"108",4,2.5
"109",5,2.5
"110",6,2.5
"111",7,2.5
"112",8,2.5
"113",9,2.5
"114",10,2.5
"115",11,2.5
"116",12,2.5
"117",13,2.5
"118",14,2.5
"119",15,2.5
"120",16,2.5
"121",17,2.5
"122",18,2.5
"123",19,2.5
"124",20,2.5
"125",21,2.5
"126",22,2.5
"127",23,2.5
"128",24,2.5
"129",25,2.5
"130",26,2.5
"131",1,3
"132",2,3
"133",3,3
"134",4,3
"135",5,3
"136",6,3
"137",7,3
"138",8,3
"139",9,3
"140",10,3
"141",11,3
"142",12,3
"143",13,3
"144",14,3
"145",15,3
"146",16,3
"147",17,3
"148",18,3
"149",19,3
"150",20,3
"151",21,3
"152",22,3
"153",23,3
"154",24,3
"155",25,3
"156",26,3
"157",1,3.5
"158",2,3.5
"159",3,3.5
"160",4,3.5
"161",5,3.5
"162",6,3.5
"163",7,3.5
"164",8,3.5
"165",9,3.5
"166",10,3.5
"167",11,3.5
"168",12,3.5
"169",13,3.5
"170",14,3.5
"171",15,3.5
"172",16,3.5
"173",17,3.5
"174",18,3.5
"175",19,3.5
"176",20,3.5
"177",21,3.5
"178",22,3.5
"179",23,3.5
"180",24,3.5
"181",25,3.5
"182",26,3.5
"183",1,4
"184",2,4
"185",3,4
"186",4,4
"187",5,4
"188",6,4
"189",7,4
"190",8,4
"191",9,4
"192",10,4
"193",11,4
"194",12,4
"195",13,4
"196",14,4
"197",15,4
"198",16,4
"199",17,4
"200",18,4
"201",19,4
"202",20,4
"203",21,4
"204",22,4
"205",23,4
"206",24,4
"207",25,4
"208",26,4
"209",1,4.5
"210",2,4.5
"211",3,4.5
